name,url,base_experience,height,id,image_url,weight,stat_hp,stat_attack,stat_defense,stat_special-attack,stat_special-defense,stat_speed,ability_0_id,ability_0,ability_1_id,ability_1,type_0_id,type_0,type_1_id,type_1,ability_2_id,ability_2
bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,64.0,7,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,69,45,49,49,65,65,45,65,overgrow,34,chlorophyll,12,grass,4,poison,,
ivysaur,https://pokeapi.co/api/v2/pokemon/2/,142.0,10,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,130,60,62,63,80,80,60,65,overgrow,34,chlorophyll,12,grass,4,poison,,
venusaur,https://pokeapi.co/api/v2/pokemon/3/,263.0,20,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,1000,80,82,83,100,100,80,65,overgrow,34,chlorophyll,12,grass,4,poison,,
charmander,https://pokeapi.co/api/v2/pokemon/4/,62.0,6,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,85,39,52,43,60,50,65,66,blaze,94,solar-power,10,fire,,,,
charmeleon,https://pokeapi.co/api/v2/pokemon/5/,142.0,11,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,190,58,64,58,80,65,80,66,blaze,94,solar-power,10,fire,,,,
charizard,https://pokeapi.co/api/v2/pokemon/6/,267.0,17,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,905,78,84,78,109,85,100,66,blaze,94,solar-power,10,fire,3,flying,,
squirtle,https://pokeapi.co/api/v2/pokemon/7/,63.0,5,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,90,44,48,65,50,64,43,67,torrent,44,rain-dish,11,water,,,,
wartortle,https://pokeapi.co/api/v2/pokemon/8/,142.0,10,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,225,59,63,80,65,80,58,67,torrent,44,rain-dish,11,water,,,,
blastoise,https://pokeapi.co/api/v2/pokemon/9/,265.0,16,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,855,79,83,100,85,105,78,67,torrent,44,rain-dish,11,water,,,,
caterpie,https://pokeapi.co/api/v2/pokemon/10/,39.0,3,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,29,45,30,35,20,20,45,19,shield-dust,50,run-away,7,bug,,,,
